address,decimals,lastTradeUnixTime,liquidity,mc,name,symbol,v24hChangePercent,v24hUSD,token_url
FxGEroHTtKLrbafs2nu6qE9p893LXM1fxsNJZDZdhUT5,6,2024-04-06 14:00:37+00:00,7405.054408267863,14047.151730385698,mek amreica gret agen,drump,80.42047601280629,83253.28773509033,https://birdeye.so/token/FxGEroHTtKLrbafs2nu6qE9p893LXM1fxsNJZDZdhUT5
G9b9Lt78x5JXhFLeDY4ZAfMkWWugnbsfKBR2qipJWXaT,9,2024-04-06 14:12:54+00:00,14646.356053961776,24232.346876909636,Gooby,Gooby,80.35855565967739,1020.5659970513931,https://birdeye.so/token/G9b9Lt78x5JXhFLeDY4ZAfMkWWugnbsfKBR2qipJWXaT
3EB3sBtF443tp2AVVFtnanUUKp19CRkg8HMtwuPHEce4,6,2024-04-06 14:23:15+00:00,6197.936205514275,20418.91916132922,catwifcrocs,CROCS,76.23703889015778,9851.425977722509,https://birdeye.so/token/3EB3sBtF443tp2AVVFtnanUUKp19CRkg8HMtwuPHEce4
ASTpA36YaQX4ucE8aTTWeFzECg9fms95GY4jJo8SKVPQ,9,2024-04-06 14:18:31+00:00,12339.573000006447,29496.473839851904,Astro Space Token,AST,75.8120269052008,1352.906082,https://birdeye.so/token/ASTpA36YaQX4ucE8aTTWeFzECg9fms95GY4jJo8SKVPQ
EF5fze79mUm6wGm9Ut1fFmPBEoPSjFghWzXed9w2ncha,6,2024-04-06 13:59:34+00:00,5878.429341325419,29661.66952433008,spherewifhat,SWIF,68.97154222888838,1663.134509970651,https://birdeye.so/token/EF5fze79mUm6wGm9Ut1fFmPBEoPSjFghWzXed9w2ncha
8YWdf31XQN4XbS4wgcgj1UDk4tQfxDbxxQg9D2GPFB8E,9,2024-04-06 14:18:47+00:00,7419.9585369348915,16489.928652824427,Teng Cat,TENG,61.53079256153203,2883.582207616687,https://birdeye.so/token/8YWdf31XQN4XbS4wgcgj1UDk4tQfxDbxxQg9D2GPFB8E
Cev4wcBEBzk9E5rc9XhnnUNv332wK1TAFsXD9MLwBKqA,2,2024-04-06 13:56:17+00:00,3239.9284399788703,14678.998511187969,WALE,WALE,61.27474284877853,1479.4339034234367,https://birdeye.so/token/Cev4wcBEBzk9E5rc9XhnnUNv332wK1TAFsXD9MLwBKqA
borPQ1WJLqyibwC3fNJXv2oiDQmj53SEkxfpJydVG1L,9,2024-04-06 14:20:18+00:00,10501.465990732842,24687.883105711422,Borpa,BORPA,54.733379439683894,3683.3001778327125,https://birdeye.so/token/borPQ1WJLqyibwC3fNJXv2oiDQmj53SEkxfpJydVG1L
AG9zduBj8Z5v3n4DYCfY8cH8Hf4dqa8182cPp9sfY4C2,9,2024-04-06 14:23:31+00:00,15248.771546450365,10436.371314044964,GREG THE PEPE,GREPE,49.34037507331334,8158.683504882054,https://birdeye.so/token/AG9zduBj8Z5v3n4DYCfY8cH8Hf4dqa8182cPp9sfY4C2
4tXarCgxA83g9AMdofCnhnfGahLc16c8SzSwAFxCq5Rp,1,2024-04-06 14:23:24+00:00,9554.465975648058,19900.28789536524,PEPE FLOKI,PEPEFLOKI,47.58338670250232,8736.966156173374,https://birdeye.so/token/4tXarCgxA83g9AMdofCnhnfGahLc16c8SzSwAFxCq5Rp
EcrRa8njTL11SxiLzSRY35UWNcudJbFsdp1yvr26FBFm,6,2024-04-06 14:21:57+00:00,8360.244234363769,11078.223517647702,Shark Dog,SD,45.031395862472486,44146.901435671665,https://birdeye.so/token/EcrRa8njTL11SxiLzSRY35UWNcudJbFsdp1yvr26FBFm
93qu66VFg5CdKLmzurxE82z9uc7kuacaQtwmyogUjikF,9,2024-04-06 13:54:40+00:00,6064.07759824097,9525.495169990098,OMG Cat ,OMGCAT,42.51763038871849,2207.4145837212086,https://birdeye.so/token/93qu66VFg5CdKLmzurxE82z9uc7kuacaQtwmyogUjikF
2euSvDAvfDpEsV5yaid6AmgKYd9bDatnecgog7PMoGML,6,2024-04-06 13:59:33+00:00,6739.379684917807,19809.837346400625,Woofverina,Verina,38.55670562634047,1880.49730213704,https://birdeye.so/token/2euSvDAvfDpEsV5yaid6AmgKYd9bDatnecgog7PMoGML
